"Isolation_Group","Min.diff.new","collection.mon","collection.yr","AMR.genotypes","state","USregion","season","SNP.cluster.group","cc","weights"
"Environment",1,10,2010,"fosX=COMPLETE,lin=COMPLETE","USA:OR","west","autumn","PDS000000366.504",1,1.0000000000029
"Clinical/Human",16,9,2013,"fosX=COMPLETE,lin=COMPLETE","USA:NY","northeast","autumn","PDS000000366.504",1,1.0000000000029
"Environment",15,9,2013,"fosX=COMPLETE,lin=COMPLETE","USA:PA","northeast","autumn","PDS000000366.504",1,1.0000000000029
"Environment",0,12,2013,"fosX=COMPLETE,lin=COMPLETE","USA:CA","west","winter","PDS000000366.504",1,1.0000000000029
"Environment",0,12,2013,"fosX=COMPLETE,lin=COMPLETE","USA:CA","west","winter","PDS000000366.504",1,1.0000000000029
"Environment",0,12,2013,"fosX=COMPLETE,lin=COMPLETE","USA:CA","west","winter","PDS000000366.504",1,1.0000000000029
"Environment",0,12,2013,"fosX=COMPLETE,lin=COMPLETE","USA:CA","west","winter","PDS000000366.504",1,1.0000000000029
"Environment",0,12,2013,"fosX=COMPLETE,lin=COMPLETE","USA:NY","northeast","winter","PDS000000366.504",1,1.0000000000029
"Environment",0,12,2013,"fosX=COMPLETE,lin=COMPLETE","USA:NY","northeast","winter","PDS000000366.504",1,1.0000000000029
"Environment",1,12,2013,"fosX=COMPLETE,lin=COMPLETE","USA:NY","northeast","winter","PDS000000366.504",1,1.0000000000029
"Environment",0,12,2013,"fosX=COMPLETE,lin=COMPLETE","USA:CA","west","winter","PDS000000366.504",1,1.0000000000029
"Environment",1,12,2013,"fosX=COMPLETE,lin=COMPLETE","USA:CA","west","winter","PDS000000366.504",1,1.0000000000029
"Environment",0,12,2013,"fosX=COMPLETE,lin=COMPLETE","USA:CA","west","winter","PDS000000366.504",1,1.0000000000029
"Environment",0,12,2013,"fosX=COMPLETE,lin=COMPLETE","USA:CA","west","winter","PDS000000366.504",1,1.0000000000029
"Environment",0,12,2013,"fosX=COMPLETE,lin=COMPLETE","USA:CA","west","winter","PDS000000366.504",1,1.0000000000029
"Environment",3,12,2013,"fosX=COMPLETE,lin=COMPLETE","USA:CA","west","winter","PDS000000366.504",1,1.0000000000029
"Environment",0,12,2013,"fosX=COMPLETE,lin=COMPLETE","USA:CA","west","winter","PDS000000366.504",1,1.0000000000029
"Environment",0,12,2013,"fosX=COMPLETE,lin=COMPLETE","USA:CA","west","winter","PDS000000366.504",1,1.0000000000029
"Environment",1,12,2013,"fosX=COMPLETE,lin=COMPLETE","USA:CA","west","winter","PDS000000366.504",1,1.0000000000029
"Environment",0,12,2013,"fosX=COMPLETE,lin=COMPLETE","USA:CA","west","winter","PDS000000366.504",1,1.0000000000029
"Environment",0,12,2013,"fosX=COMPLETE,lin=COMPLETE","USA:CA","west","winter","PDS000000366.504",1,1.0000000000029
"Environment",1,12,2013,"fosX=COMPLETE,lin=COMPLETE","USA:NY","northeast","winter","PDS000000366.504",1,1.0000000000029
"Environment",7,12,2013,"fosX=COMPLETE,lin=COMPLETE","USA:WA","west","winter","PDS000000366.504",1,1.0000000000029
"Environment",11,7,2013,"fosX=COMPLETE,lin=COMPLETE","USA:GA","south","summer","PDS000000366.504",1,1.0000000000029
"Environment",14,6,2013,"fosX=COMPLETE,lin=COMPLETE","USA:GA","south","summer","PDS000000366.504",1,1.0000000000029
"Environment",1,11,2013,"fosX=COMPLETE,lin=COMPLETE","USA:NY","northeast","autumn","PDS000000366.504",1,1.0000000000029
"Environment",7,12,2013,"fosX=COMPLETE,lin=COMPLETE,lin=PARTIAL","USA:WA","west","winter","PDS000000366.504",1,1.0000000000029
"Environment",0,12,2013,"fosX=COMPLETE,lin=COMPLETE","USA:WA","west","winter","PDS000000366.504",1,1.0000000000029
"Environment",0,12,2013,"fosX=COMPLETE,lin=COMPLETE","USA:WA","west","winter","PDS000000366.504",1,1.0000000000029
"Environment",1,12,2013,"fosX=COMPLETE,lin=COMPLETE","USA:WA","west","winter","PDS000000366.504",1,1.0000000000029
"Environment",4,12,2013,"fosX=COMPLETE,lin=COMPLETE","USA:WA","west","winter","PDS000000366.504",1,1.0000000000029
"Environment",0,12,2013,"fosX=COMPLETE,lin=COMPLETE","USA:WA","west","winter","PDS000000366.504",1,1.0000000000029
"Clinical/Human",6,5,2014,"fosX=COMPLETE,lin=COMPLETE","USA","other","spring","PDS000000366.504",1,1.0000000000029
"Clinical/Human",11,5,2014,"fosX=COMPLETE,lin=COMPLETE","USA","other","spring","PDS000000366.504",1,1.0000000000029
"Land_Animal",14,5,2014,"fosX=COMPLETE,lin=COMPLETE","USA:CT","northeast","spring","PDS000000366.504",1,1.0000000000029
"Land_Animal",22,6,2014,"fosX=COMPLETE,lin=COMPLETE","USA:CA","west","summer","PDS000000366.504",1,1.0000000000029
"Environment",1,7,2014,"fosX=COMPLETE,lin=COMPLETE","USA:CO","west","summer","PDS000000366.504",1,1.0000000000029
"Environment",1,7,2014,"fosX=COMPLETE,lin=COMPLETE","USA:CO","west","summer","PDS000000366.504",1,1.0000000000029
"Clinical/Human",4,7,2014,"fosX=COMPLETE,lin=COMPLETE","USA","other","summer","PDS000000366.504",1,1.0000000000029
"Land_Animal",7,8,2014,"fosX=COMPLETE,lin=COMPLETE","USA:CA","west","summer","PDS000000366.504",1,1.0000000000029
"Environment",2,2,2011,"fosX=COMPLETE,lin=COMPLETE","USA:WA","west","winter","PDS000000366.504",1,1.0000000000029
"Environment",9,2,2011,"fosX=COMPLETE,lin=COMPLETE","USA:WA","west","winter","PDS000000366.504",1,1.0000000000029
"Environment",5,6,2012,"fosX=COMPLETE,lin=COMPLETE","USA:WA","west","summer","PDS000000366.504",1,1.0000000000029
"Environment",0,6,2012,"fosX=COMPLETE,lin=COMPLETE","USA:WA","west","summer","PDS000000366.504",1,1.0000000000029
"Environment",4,6,2012,"fosX=COMPLETE,lin=COMPLETE","USA:WA","west","summer","PDS000000366.504",1,1.0000000000029
"Environment",2,6,2012,"fosX=COMPLETE,lin=COMPLETE","USA:WA","west","summer","PDS000000366.504",1,1.0000000000029
"Environment",6,6,2012,"fosX=COMPLETE,lin=COMPLETE","USA:WA","west","summer","PDS000000366.504",1,1.0000000000029
"Environment",5,12,2011,"fosX=COMPLETE,lin=COMPLETE","USA:NC","south","winter","PDS000000366.504",1,1.0000000000029
"Environment",7,12,2011,"fosX=COMPLETE,lin=COMPLETE","USA:NC","south","winter","PDS000000366.504",1,1.0000000000029
"Environment",5,12,2011,"fosX=COMPLETE,lin=COMPLETE","USA:NC","south","winter","PDS000000366.504",1,1.0000000000029
"Land_Animal",9,9,2014,"fosX=COMPLETE,lin=COMPLETE","USA:AZ","west","autumn","PDS000000366.504",1,1.0000000000029
"Plants",0,8,2014,"fosX=COMPLETE,lin=COMPLETE","USA:CA","west","summer","PDS000000366.504",1,1.0000000000029
"Land_Animal",1,10,2014,"fosX=COMPLETE,lin=COMPLETE","USA:IA","midwest","autumn","PDS000000366.504",1,1.0000000000029
"Environment",10,10,2014,"fosX=COMPLETE,lin=COMPLETE","USA:FL","south","autumn","PDS000000366.504",1,1.0000000000029
"Environment",0,9,2014,"fosX=COMPLETE,lin=COMPLETE","USA:KS","midwest","autumn","PDS000000366.504",1,1.0000000000029
"Environment",0,9,2014,"fosX=COMPLETE,lin=COMPLETE","USA:KS","midwest","autumn","PDS000000366.504",1,1.0000000000029
"Environment",3,9,2014,"fosX=COMPLETE,lin=COMPLETE","USA:KS","midwest","autumn","PDS000000366.504",1,1.0000000000029
"Clinical/Human",1,10,2013,"fosX=COMPLETE,lin=COMPLETE","USA:OH","midwest","autumn","PDS000000366.504",1,1.0000000000029
"Clinical/Human",1,9,2014,"fosX=COMPLETE,lin=COMPLETE","USA","other","autumn","PDS000000366.504",1,1.0000000000029
"Aquatic_Animal",0,9,2014,"fosX=COMPLETE,lin=COMPLETE","USA:NY","northeast","autumn","PDS000000366.504",1,1.0000000000029
"Environment",8,11,2014,"fosX=COMPLETE,lin=COMPLETE","USA:NC","south","autumn","PDS000000366.504",1,1.0000000000029
"Environment",2,12,2014,"fosX=COMPLETE,lin=COMPLETE","USA:NC","south","winter","PDS000000366.504",1,1.0000000000029
"Environment",2,12,2011,"fosX=COMPLETE,lin=COMPLETE","USA:NC","south","winter","PDS000000366.504",1,1.0000000000029
"Environment",3,12,2011,"fosX=COMPLETE,lin=COMPLETE","USA:NC","south","winter","PDS000000366.504",1,1.0000000000029
"Clinical/Human",3,10,2014,"fosX=COMPLETE,lin=COMPLETE","USA","other","autumn","PDS000000366.504",1,1.0000000000029
"Clinical/Human",1,11,2014,"fosX=COMPLETE,lin=COMPLETE","USA","other","autumn","PDS000000366.504",1,1.0000000000029
"Environment",1,12,2014,"fosX=COMPLETE,lin=COMPLETE","USA:CA","west","winter","PDS000000366.504",1,1.0000000000029
"Aquatic_Animal",0,12,2014,"fosX=COMPLETE,lin=COMPLETE","USA:CA","west","winter","PDS000000366.504",1,1.0000000000029
"Environment",0,12,2014,"fosX=COMPLETE,lin=COMPLETE","USA:CA","west","winter","PDS000000366.504",1,1.0000000000029
"Aquatic_Animal",0,12,2014,"fosX=COMPLETE,lin=COMPLETE","USA:CA","west","winter","PDS000000366.504",1,1.0000000000029
"Environment",14,1,2015,"fosX=COMPLETE,lin=COMPLETE","USA:TX","south","winter","PDS000000366.504",1,1.0000000000029
"Aquatic_Animal",0,1,2015,"fosX=COMPLETE,lin=COMPLETE","USA:CA","west","winter","PDS000000366.504",1,1.0000000000029
"Environment",6,3,2015,"fosX=COMPLETE,lin=COMPLETE","USA:WI","midwest","spring","PDS000000366.504",1,1.0000000000029
"Land_Animal",0,3,2015,"fosX=COMPLETE,lin=COMPLETE","USA:MN","midwest","spring","PDS000000366.504",1,1.0000000000029
"Land_Animal",1,4,2015,"fosX=COMPLETE,lin=COMPLETE","USA:IL","midwest","spring","PDS000000366.504",1,1.0000000000029
"Environment",1,4,2015,"fosX=COMPLETE,lin=COMPLETE","USA:MN","midwest","spring","PDS000000366.504",1,1.0000000000029
"Plants",5,4,2015,"fosX=COMPLETE,lin=COMPLETE","USA:MI","midwest","spring","PDS000000366.504",1,1.0000000000029
"Environment",2,4,2015,"fosX=COMPLETE,lin=COMPLETE","USA:CA","west","spring","PDS000000366.504",1,1.0000000000029
"Environment",0,4,2015,"fosX=COMPLETE,lin=COMPLETE","USA:CA","west","spring","PDS000000366.504",1,1.0000000000029
"Environment",2,4,2015,"fosX=COMPLETE,lin=COMPLETE","USA:CA","west","spring","PDS000000366.504",1,1.0000000000029
"Environment",26,5,2015,"fosX=COMPLETE,lin=COMPLETE","USA:WA","west","spring","PDS000000366.504",1,1.0000000000029
"Clinical/Human",5,3,2015,"fosX=COMPLETE,lin=COMPLETE","USA","other","spring","PDS000000366.504",1,1.0000000000029
"Environment",0,12,2014,"fosX=COMPLETE,lin=COMPLETE","USA:CA","west","winter","PDS000000366.504",1,1.0000000000029
"Environment",1,12,2014,"fosX=COMPLETE,lin=COMPLETE","USA:CA","west","winter","PDS000000366.504",1,1.0000000000029
"Environment",1,12,2014,"fosX=COMPLETE,lin=COMPLETE","USA:CA","west","winter","PDS000000366.504",1,1.0000000000029
"Environment",0,12,2014,"fosX=COMPLETE,lin=COMPLETE","USA:CA","west","winter","PDS000000366.504",1,1.0000000000029
"Environment",2,12,2014,"fosX=COMPLETE,lin=COMPLETE","USA:CA","west","winter","PDS000000366.504",1,1.0000000000029
"Environment",9,12,2014,"fosX=COMPLETE,lin=COMPLETE","USA:CA","west","winter","PDS000000366.504",1,1.0000000000029
"Environment",0,12,2014,"fosX=COMPLETE,lin=COMPLETE","USA:CA","west","winter","PDS000000366.504",1,1.0000000000029
"Environment",0,12,2014,"fosX=COMPLETE,lin=COMPLETE","USA:CA","west","winter","PDS000000366.504",1,1.0000000000029
"Environment",1,12,2014,"fosX=COMPLETE,lin=COMPLETE","USA:CA","west","winter","PDS000000366.504",1,1.0000000000029
"Environment",0,12,2014,"fosX=COMPLETE,lin=COMPLETE","USA:CA","west","winter","PDS000000366.504",1,1.0000000000029
"Environment",0,12,2014,"fosX=COMPLETE,lin=COMPLETE","USA:CA","west","winter","PDS000000366.504",1,1.0000000000029
"Environment",0,12,2014,"fosX=COMPLETE,lin=COMPLETE","USA:CA","west","winter","PDS000000366.504",1,1.0000000000029
"Environment",3,12,2014,"fosX=COMPLETE,lin=COMPLETE","USA:CA","west","winter","PDS000000366.504",1,1.0000000000029
"Environment",1,12,2014,"fosX=COMPLETE,lin=COMPLETE","USA:CA","west","winter","PDS000000366.504",1,1.0000000000029
"Environment",0,12,2014,"fosX=COMPLETE,lin=COMPLETE","USA:CA","west","winter","PDS000000366.504",1,1.0000000000029
"Environment",0,12,2014,"fosX=COMPLETE,lin=COMPLETE","USA:CA","west","winter","PDS000000366.504",1,1.0000000000029
"Clinical/Human",9,4,2015,"fosX=COMPLETE,lin=COMPLETE","USA","other","spring","PDS000000366.504",1,1.0000000000029
"Clinical/Human",26,12,2013,"fosX=COMPLETE,lin=COMPLETE","USA","other","winter","PDS000000366.504",1,1.0000000000029
"Environment",10,6,2015,"fosX=COMPLETE,lin=COMPLETE","USA:TN","south","summer","PDS000000366.504",1,1.0000000000029
"Environment",19,6,2015,"fosX=COMPLETE,lin=COMPLETE","USA:CA","west","summer","PDS000000366.504",1,1.0000000000029
"Land_Animal",0,6,2015,"fosX=COMPLETE,lin=COMPLETE","USA:NY","northeast","summer","PDS000000366.504",1,1.0000000000029
"Environment",5,7,2015,"fosX=COMPLETE,lin=COMPLETE","USA:MD","south","summer","PDS000000366.504",1,1.0000000000029
"Land_Animal",5,7,2015,"fosX=COMPLETE,lin=COMPLETE","USA:NY","northeast","summer","PDS000000366.504",1,1.0000000000029
"Environment",11,7,2015,"fosX=COMPLETE,lin=COMPLETE","USA:WI","midwest","summer","PDS000000366.504",1,1.0000000000029
"Land_Animal",1,7,2015,"fosX=COMPLETE,lin=COMPLETE","USA:KY","south","summer","PDS000000366.504",1,1.0000000000029
"Environment",5,7,2015,"fosX=COMPLETE,lin=COMPLETE","USA:MA","northeast","summer","PDS000000366.504",1,1.0000000000029
"Plants",3,9,2011,"fosX=COMPLETE,lin=COMPLETE","USA:MD","south","autumn","PDS000000366.504",1,1.0000000000029
"Land_Animal",6,6,2011,"fosX=COMPLETE,lin=COMPLETE","USA:GA","south","summer","PDS000000366.504",1,1.0000000000029
"Plants",3,9,2011,"fosX=COMPLETE,lin=COMPLETE","USA:MD","south","autumn","PDS000000366.504",1,1.0000000000029
"Environment",26,7,2015,"fosX=COMPLETE,lin=COMPLETE","USA:WA","west","summer","PDS000000366.504",1,1.0000000000029
"Environment",2,7,2015,"fosX=COMPLETE,lin=COMPLETE","USA:TX","south","summer","PDS000000366.504",1,1.0000000000029
"Aquatic_Animal",1,11,2011,"fosX=COMPLETE,lin=COMPLETE","USA:WA","west","autumn","PDS000000366.504",1,1.0000000000029
"Aquatic_Animal",1,11,2011,"fosX=COMPLETE,lin=COMPLETE","USA:WA","west","autumn","PDS000000366.504",1,1.0000000000029
"Environment",23,8,2015,"fosX=COMPLETE,lin=COMPLETE","USA:OK","south","summer","PDS000000366.504",1,1.0000000000029
"Environment",4,8,2015,"fosX=COMPLETE,lin=COMPLETE","USA:KS","midwest","summer","PDS000000366.504",1,1.0000000000029
"Environment",4,8,2015,"fosX=COMPLETE,lin=COMPLETE","USA:KS","midwest","summer","PDS000000366.504",1,1.0000000000029
"Environment",0,8,2015,"fosX=COMPLETE,lin=COMPLETE","USA:KS","midwest","summer","PDS000000366.504",1,1.0000000000029
"Environment",0,8,2015,"fosX=COMPLETE,lin=COMPLETE","USA:KS","midwest","summer","PDS000000366.504",1,1.0000000000029
"Environment",4,8,2015,"fosX=COMPLETE,lin=COMPLETE","USA:KS","midwest","summer","PDS000000366.504",1,1.0000000000029
"Environment",1,8,2015,"fosX=COMPLETE,lin=COMPLETE","USA:KS","midwest","summer","PDS000000366.504",1,1.0000000000029
"Environment",0,8,2015,"fosX=COMPLETE,lin=COMPLETE","USA:KS","midwest","summer","PDS000000366.504",1,1.0000000000029
"Environment",3,8,2015,"fosX=COMPLETE,lin=COMPLETE","USA:KS","midwest","summer","PDS000000366.504",1,1.0000000000029
"Environment",0,8,2015,"fosX=COMPLETE,lin=COMPLETE","USA:KS","midwest","summer","PDS000000366.504",1,1.0000000000029
"Environment",0,8,2015,"fosX=COMPLETE,lin=COMPLETE","USA:KS","midwest","summer","PDS000000366.504",1,1.0000000000029
"Environment",2,8,2015,"fosX=COMPLETE,lin=COMPLETE","USA:KS","midwest","summer","PDS000000366.504",1,1.0000000000029
"Environment",1,8,2015,"fosX=COMPLETE,lin=COMPLETE","USA:KS","midwest","summer","PDS000000366.504",1,1.0000000000029
"Environment",0,8,2015,"fosX=COMPLETE,lin=COMPLETE","USA:KS","midwest","summer","PDS000000366.504",1,1.0000000000029
"Environment",6,8,2015,"fosX=COMPLETE,lin=COMPLETE","USA:KS","midwest","summer","PDS000000366.504",1,1.0000000000029
"Environment",1,8,2015,"fosX=COMPLETE,lin=COMPLETE","USA:KS","midwest","summer","PDS000000366.504",1,1.0000000000029
"Environment",0,8,2015,"fosX=COMPLETE,lin=COMPLETE","USA:KS","midwest","summer","PDS000000366.504",1,1.0000000000029
"Environment",0,8,2015,"fosX=COMPLETE,lin=COMPLETE","USA:KS","midwest","summer","PDS000000366.504",1,1.0000000000029
"Environment",0,8,2015,"fosX=COMPLETE,lin=COMPLETE","USA:KS","midwest","summer","PDS000000366.504",1,1.0000000000029
"Environment",0,8,2015,"fosX=COMPLETE,lin=COMPLETE","USA:KS","midwest","summer","PDS000000366.504",1,1.0000000000029
"Environment",1,8,2015,"fosX=COMPLETE,lin=COMPLETE","USA:KS","midwest","summer","PDS000000366.504",1,1.0000000000029
"Environment",0,8,2015,"fosX=COMPLETE,lin=COMPLETE","USA:KS","midwest","summer","PDS000000366.504",1,1.0000000000029
"Environment",0,8,2015,"fosX=COMPLETE,lin=COMPLETE","USA:KS","midwest","summer","PDS000000366.504",1,1.0000000000029
"Environment",0,8,2015,"fosX=COMPLETE,lin=COMPLETE","USA:KS","midwest","summer","PDS000000366.504",1,1.0000000000029
