"AMR.genotypes","SNP_cluster_group","USregion","season","collection.yr","min_SNP","Isolation_Group"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","autumn","2010",1,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","autumn","2013",16,"Clinical/Human"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","autumn","2013",15,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2013",0,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2013",0,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2013",0,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2013",0,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","winter","2013",0,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","winter","2013",0,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","winter","2013",1,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2013",0,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2013",1,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2013",0,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2013",0,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2013",0,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2013",3,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2013",0,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2013",0,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2013",1,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2013",0,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2013",0,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","winter","2013",1,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2013",7,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","south","summer","2013",11,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","south","summer","2013",14,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","autumn","2013",1,"Environment"
"fosX=COMPLETE,lin=COMPLETE,lin=PARTIAL","PDS000000366.504","west","winter","2013",7,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2013",0,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2013",0,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2013",1,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2013",4,"Environment"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2013",0,"Environment"
